C:\Users\jonathans\PycharmProjects\PSSEDYN\SampleSystem\OUT\out_dyntools_demo_bus154_fault.out
                     1              2              21             22      
        Time(s) ANGL 2[BUS 2 1 ANGL 3[BUS 3 1 VOLT 2 [BUS 2  VOLT 3 [BUS 3 
                       8.000]1        3.800]1        18.000]        13.800]
       0.899999       -92.2951        -78.601       0.969751        1.07464
       0.908333       -92.3027       -78.6082       0.969744        1.07464
       0.916666       -92.3104       -78.6156       0.969738        1.07463
       0.924999       -92.3182        -78.623       0.969731        1.07463
       0.933333       -92.3261       -78.6306       0.969724        1.07462
       0.941666       -92.3342       -78.6383       0.969718        1.07461
       0.949999       -92.3423        -78.646       0.969711        1.07461
       0.958333       -92.3505       -78.6539       0.969704         1.0746
       0.966666       -92.3589       -78.6619       0.969697         1.0746
       0.974999       -92.3674         -78.67        0.96969        1.07459
       0.983333       -92.3759       -78.6783       0.969682        1.07459
       0.991666       -92.3846       -78.6866       0.969675        1.07458
       0.999999       -92.3935        -78.695       0.969668        1.07457
        1.00833       -92.4024       -78.7036        0.96966        1.07457
        1.01667       -92.4114       -78.7122       0.969652        1.07456
          1.025       -92.4205        -78.721       0.969645        1.07456
        1.03333       -92.4298       -78.7299       0.969637        1.07455
        1.04167       -92.4392       -78.7389       0.969629        1.07454
           1.05       -92.4487        -78.748       0.969621        1.07454
        1.05833       -92.4583       -78.7572       0.969613        1.07453
        1.06667        -92.468       -78.7665       0.969605        1.07452
          1.075       -92.4778       -78.7759       0.969597        1.07452
        1.08333       -92.4877       -78.7855       0.969589        1.07451
        1.09167       -92.4978       -78.7951        0.96958         1.0745
            1.1       -92.5079       -78.8049       0.969572         1.0745
        1.10833       -92.5182       -78.8148       0.969563        1.07449
        1.11667       -92.5286       -78.8248       0.969555        1.07448
          1.125       -92.5391       -78.8349       0.969546        1.07448
        1.13333       -92.5498       -78.8452       0.969537        1.07447
        1.14167       -92.5605       -78.8555       0.969529        1.07446
           1.15       -92.5714        -78.866        0.96952        1.07446
        1.15833       -92.5823       -78.8765       0.969511        1.07445
        1.16667       -92.5934       -78.8872       0.969502        1.07444
          1.175       -92.6046        -78.898       0.969493        1.07443
        1.18333       -92.6159       -78.9089       0.969484        1.07443
        1.19167       -92.6273         -78.92       0.969475        1.07442
            1.2       -92.6389       -78.9311       0.969465        1.07441
        1.20833       -92.6506       -78.9424       0.969456         1.0744
        1.21667       -92.6623       -78.9538       0.969447         1.0744
          1.225       -92.6742       -78.9653       0.969437        1.07439
        1.23333       -92.6862       -78.9769       0.969428        1.07438
        1.24167       -92.6983       -78.9886       0.969418        1.07437
           1.25       -92.7106       -79.0005       0.969409        1.07437
        1.25833       -92.7229       -79.0124       0.969399        1.07436
        1.26667       -92.7354       -79.0245       0.969389        1.07435
          1.275        -92.748       -79.0367        0.96938        1.07434
        1.28333       -92.7607        -79.049        0.96937        1.07434
        1.29167       -92.7735       -79.0614        0.96936        1.07433
            1.3       -92.7864        -79.074        0.96935        1.07432
        1.30833       -92.7995       -79.0866        0.96934        1.07431
        1.31667       -92.8127       -79.0994        0.96933         1.0743
          1.325       -92.8259       -79.1123        0.96932         1.0743
        1.33333       -92.8393       -79.1253        0.96931        1.07429
        1.34167       -92.8528       -79.1384         0.9693        1.07428
           1.35       -92.8665       -79.1517        0.96929        1.07427
        1.35833       -92.8802        -79.165        0.96928        1.07426
        1.36667       -92.8941       -79.1785        0.96927        1.07426
          1.375       -92.9081       -79.1921        0.96926        1.07425
        1.38333       -92.9221       -79.2058       0.969249        1.07424
        1.39167       -92.9364       -79.2196       0.969239        1.07423
            1.4       -92.9507       -79.2336       0.969229        1.07422
        1.40833       -92.9651       -79.2476       0.969219        1.07421
        1.41667       -92.9797       -79.2618       0.969208        1.07421
          1.425       -92.9943       -79.2761       0.969198         1.0742
        1.43333       -93.0091       -79.2905       0.969187        1.07419
        1.44167        -93.024        -79.305       0.969177        1.07418
           1.45        -93.039       -79.3196       0.969167        1.07417
